x1,x2,x3,x4,x5,distance
-75,-76,-76,-79,-67,9
-76,-76,-79,-67,-78,9
-76,-79,-67,-78,-64,9
-79,-67,-78,-64,-64,9
-67,-78,-64,-64,-64,9
-78,-64,-64,-64,-64,9
-64,-64,-64,-64,-65,9
-64,-64,-64,-65,-63,9
-64,-64,-65,-63,-80,9
-64,-65,-63,-80,-80,9
-65,-63,-80,-80,-71,9
-63,-80,-80,-71,-79,9
-80,-80,-71,-79,-76,9
-80,-71,-79,-76,-80,9
-71,-79,-76,-80,-64,9
-79,-76,-80,-64,-69,9
-76,-80,-64,-69,-75,9
-80,-64,-69,-75,-69,9
-64,-69,-75,-69,-69,9
-69,-75,-69,-69,-74,9
-75,-69,-69,-74,-78,9
-69,-69,-74,-78,-76,9
-69,-74,-78,-76,-64,9
-74,-78,-76,-64,-68,9
-78,-76,-64,-68,-64,9
-76,-64,-68,-64,-64,9
-64,-68,-64,-64,-62,9
-68,-64,-64,-62,-64,9
-64,-64,-62,-64,-66,9
-64,-62,-64,-66,-61,9
-62,-64,-66,-61,-69,9
-64,-66,-61,-69,-69,9
-66,-61,-69,-69,-69,9
-61,-69,-69,-69,-78,9
-69,-69,-69,-78,-65,9
-69,-69,-78,-65,-78,9
-69,-78,-65,-78,-63,9
-78,-65,-78,-63,-67,9
-65,-78,-63,-67,-69,9
-78,-63,-67,-69,-64,9
-63,-67,-69,-64,-67,9
-67,-69,-64,-67,-76,9
-69,-64,-67,-76,-67,9
-64,-67,-76,-67,-67,9
-67,-76,-67,-67,-64,9
-76,-67,-67,-64,-74,9
-67,-67,-64,-74,-75,9
-67,-64,-74,-75,-75,9
-64,-74,-75,-75,-76,9
-74,-75,-75,-76,-63,9
-75,-75,-76,-63,-68,9
-75,-76,-63,-68,-68,9
-76,-63,-68,-68,-76,9
-63,-68,-68,-76,-69,9
-68,-68,-76,-69,-76,9
-68,-76,-69,-76,-68,9
-76,-69,-76,-68,-76,9
-69,-76,-68,-76,-64,9
-76,-68,-76,-64,-72,9
-68,-76,-64,-72,-69,9
-76,-64,-72,-69,-69,9
-64,-72,-69,-69,-68,9
-72,-69,-69,-68,-67,9
-69,-69,-68,-67,-75,9
-69,-68,-67,-75,-67,9
-68,-67,-75,-67,-75,9
-67,-75,-67,-75,-79,9
-75,-67,-75,-79,-69,9
-67,-75,-79,-69,-74,9
-75,-79,-69,-74,-64,9
-79,-69,-74,-64,-79,9
-69,-74,-64,-79,-79,9
-74,-64,-79,-79,-66,9
-64,-79,-79,-66,-78,9
-79,-79,-66,-78,-78,9
-79,-66,-78,-78,-68,9
-66,-78,-78,-68,-67,9
-78,-78,-68,-67,-68,9
-78,-68,-67,-68,-68,9
-68,-67,-68,-68,-68,9
-67,-68,-68,-68,-64,9
-68,-68,-68,-64,-78,9
-68,-68,-64,-78,-79,9
-68,-64,-78,-79,-74,9
-64,-78,-79,-74,-78,9
-78,-79,-74,-78,-78,9
-79,-74,-78,-78,-78,9
-74,-78,-78,-78,-67,9
-78,-78,-78,-67,-49,9
-78,-78,-67,-49,-65,9
-78,-67,-49,-65,-69,9
-67,-49,-65,-69,-78,9
-49,-65,-69,-78,-64,9
-65,-69,-78,-64,-77,9
-69,-78,-64,-77,-69,9
-78,-64,-77,-69,-63,9
-64,-77,-69,-63,-64,9
-77,-69,-63,-64,-79,9
-69,-63,-64,-79,-65,9
-63,-64,-79,-65,-76,9
-64,-79,-65,-76,-69,9
-79,-65,-76,-69,-63,9
-65,-76,-69,-63,-80,9
-76,-69,-63,-80,-69,9
-69,-63,-80,-69,-70,9
-63,-80,-69,-70,-63,9
-80,-69,-70,-63,-74,9
-69,-70,-63,-74,-78,9
-70,-63,-74,-78,-70,9
-63,-74,-78,-70,-78,9
-74,-78,-70,-78,-79,9
-78,-70,-78,-79,-76,9
-70,-78,-79,-76,-69,9
-78,-79,-76,-69,-78,9
-79,-76,-69,-78,-79,9
-76,-69,-78,-79,-79,9
-69,-78,-79,-79,-79,9
-78,-79,-79,-79,-70,9
-79,-79,-79,-70,-70,9
-79,-79,-70,-70,-64,9
-79,-70,-70,-64,-66,9
-70,-70,-64,-66,-79,9
-70,-64,-66,-79,-63,9
-64,-66,-79,-63,-79,9
-66,-79,-63,-79,-78,9
-79,-63,-79,-78,-66,9
-63,-79,-78,-66,-78,9
-79,-78,-66,-78,-78,9
-78,-66,-78,-78,-66,9
-66,-78,-78,-66,-67,9
-78,-78,-66,-67,-77,9
-78,-66,-67,-77,-69,9
-66,-67,-77,-69,-79,9
-67,-77,-69,-79,-75,9
-77,-69,-79,-75,-75,9
-69,-79,-75,-75,-66,9
-79,-75,-75,-66,-71,9
-75,-75,-66,-71,-69,9
-75,-66,-71,-69,-71,9
-66,-71,-69,-71,-78,9
-71,-69,-71,-78,-66,9
-69,-71,-78,-66,-78,9
-71,-78,-66,-78,-66,9
-78,-66,-78,-66,-72,9
-66,-78,-66,-72,-75,9
-78,-66,-72,-75,-64,9
-66,-72,-75,-64,-67,9
-72,-75,-64,-67,-78,9
-75,-64,-67,-78,-63,9
-64,-67,-78,-63,-66,9
-67,-78,-63,-66,-64,9
-78,-63,-66,-64,-78,9
-63,-66,-64,-78,-74,9
-66,-64,-78,-74,-63,9
-64,-78,-74,-63,-66,9
-78,-74,-63,-66,-69,9
-74,-63,-66,-69,-79,9
-63,-66,-69,-79,-66,9
-66,-69,-79,-66,-75,9
-69,-79,-66,-75,-65,9
-79,-66,-75,-65,-65,9
-66,-75,-65,-65,-78,9
-75,-65,-65,-78,-78,9
-65,-65,-78,-78,-64,9
-65,-78,-78,-64,-64,9
-78,-78,-64,-64,-65,9
-78,-64,-64,-65,-67,9
-64,-64,-65,-67,-61,9
-64,-65,-67,-61,-63,9
-65,-67,-61,-63,-72,9
-67,-61,-63,-72,-66,9
-61,-63,-72,-66,-65,9
-63,-72,-66,-65,-64,9
-72,-66,-65,-64,-67,9
-66,-65,-64,-67,-66,9
-65,-64,-67,-66,-78,9
-64,-67,-66,-78,-65,9
-67,-66,-78,-65,-66,9
-66,-78,-65,-66,-78,9
-78,-65,-66,-78,-64,9
-65,-66,-78,-64,-64,9
-66,-78,-64,-64,-64,9
-78,-64,-64,-64,-67,9
-64,-64,-64,-67,-64,9
-64,-64,-67,-64,-64,9
-64,-67,-64,-64,-64,9
-67,-64,-64,-64,-72,9
-64,-64,-64,-72,-76,9
-64,-64,-72,-76,-68,9
-64,-72,-76,-68,-66,9
-72,-76,-68,-66,-64,9
-76,-68,-66,-64,-77,9
-68,-66,-64,-77,-78,9
-66,-64,-77,-78,-66,9
-64,-77,-78,-66,-71,9
-77,-78,-66,-71,-69,9
-78,-66,-71,-69,-71,9
-66,-71,-69,-71,-68,9
-71,-69,-71,-68,-67,9
-69,-71,-68,-67,-66,9
-71,-68,-67,-66,-66,9
-68,-67,-66,-66,-75,9
-67,-66,-66,-75,-66,9
-66,-66,-75,-66,-75,9
-66,-75,-66,-75,-66,9
-75,-66,-75,-66,-78,9
-66,-75,-66,-78,-78,9
-75,-66,-78,-78,-75,9
-66,-78,-78,-75,-69,9
-78,-78,-75,-69,-71,9
-78,-75,-69,-71,-67,9
-75,-69,-71,-67,-78,9
-69,-71,-67,-78,-66,9
-71,-67,-78,-66,-66,9
-67,-78,-66,-66,-66,9
-78,-66,-66,-66,-66,9
-66,-66,-66,-66,-66,9
-61,-66,-63,-61,-77,9
-66,-63,-61,-77,-75,9
-63,-61,-77,-75,-65,9
-61,-77,-75,-65,-76,9
-77,-75,-65,-76,-63,9
-75,-65,-76,-63,-63,9
-65,-76,-63,-63,-67,9
-76,-63,-63,-67,-66,9
-63,-63,-67,-66,-75,9
-63,-67,-66,-75,-63,9
-67,-66,-75,-63,-64,9
-66,-75,-63,-64,-63,9
-75,-63,-64,-63,-76,9
-63,-64,-63,-76,-63,9
-64,-63,-76,-63,-64,9
-63,-76,-63,-64,-73,9
-76,-63,-64,-73,-73,9
-63,-64,-73,-73,-63,9
-64,-73,-73,-63,-75,9
-73,-73,-63,-75,-76,9
-73,-63,-75,-76,-75,9
